co,cm,cuit,fecha,cant
1,101,30712345678,"05/06/2020",500
1,102,30712345678,"05/06/2020",300
1,103,30712345678,"05/06/2020",5000
1,104,30765432198,"06/06/2020",150
1,105,30765432198,"06/06/2020",80
2,101,30712345678,"06/06/2020",800
2,109,30712345678,"06/06/2020",1200
2,111,30798765432,"07/06/2020",50
2,112,30798765432,"07/06/2020",120
3,101,30723456789,"08/06/2020",600
3,104,30723456789,"08/06/2020",200
3,106,30723456789,"08/06/2020",30
3,110,30723456789,"08/06/2020",150
4,101,30712345678,"09/06/2020",400
4,103,30712345678,"09/06/2020",4500
4,110,30712345678,"09/06/2020",100
4,113,30712345678,"09/06/2020",350
5,102,30745678912,"10/06/2020",500
5,104,30745678912,"10/06/2020",180
5,106,30745678912,"10/06/2020",25
5,108,30745678912,"10/06/2020",40
6,101,30712345678,"11/06/2020",1000
6,104,30712345678,"11/06/2020",500
6,109,30712345678,"11/06/2020",1500
6,111,30712345678,"11/06/2020",80
7,101,30756789123,"12/06/2020",450
7,104,30756789123,"12/06/2020",160
7,105,30756789123,"12/06/2020",90
8,101,30712345678,"13/06/2020",350
8,102,30712345678,"13/06/2020",250
8,103,30712345678,"13/06/2020",3500
8,113,30712345678,"13/06/2020",400
9,101,30789123456,"14/06/2020",750
9,105,30789123456,"14/06/2020",500
9,108,30789123456,"14/06/2020",60
9,113,30712345678,"14/06/2020",200
1,113,30712345678,"15/06/2020",250
3,113,30712345678,"15/06/2020",300
5,113,30712345678,"15/06/2020",150
7,113,30712345678,"15/06/2020",100
4,106,30798765432,"16/06/2020",10
6,106,30798765432,"16/06/2020",15
8,106,30798765432,"16/06/2020",20
10,101,30712345678,"17/06/2020",600
10,102,30712345678,"17/06/2020",400
10,103,30712345678,"17/06/2020",4800
10,104,30712345678,"17/06/2020",220
10,105,30712345678,"17/06/2020",75